Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
12,Sat 5 Jun 4:05pm,Adelaide v Collingwood,Adelaide Oval,30446,73-78,R. Laird 40,J. Elliott 6
12,Sat 5 Jun 5:40pm,Essendon v Richmond,Optus Stadium,55656,84-123,D. Parish 44,-
12,Sun 6 Jun 3:20pm,Carlton v West Coast,SCG,5137,73-95,D. Sheed 32,L. Ryan 4
12,,Geelong,BYE,,,,
12,,Hawthorn,BYE,,,,
12,,North Melbourne,BYE,,,,
12,,Port Adelaide,BYE,,,,
12,,Gold Coast,BYE,,,,
12,,GWS,BYE,,,,
12,Sun 6 Jun 4:40pm,Fremantle v Western Bulldogs,Optus Stadium,32875,65-93,J. Macrae 35,J. Treacy 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
13,Thu 10 Jun 7:10pm,Port Adelaide v Geelong,Adelaide Oval,28718,91-112,O. Wines 29,J. Cameron 5; C. Rozee 5
13,Fri 11 Jun 7:50pm,Sydney v Hawthorn,SCG,25904,51-89,T. Mitchell 34,-
13,Sat 12 Jun 2:15pm,Fremantle v Gold Coast,Optus Stadium,27318,76-49,J. Aish 31,T. Miller 31; -
13,Sat 12 Jun 7:25pm,St Kilda v Adelaide,Cazaly's Stadium,5969,60-66,B. Crouch 36,R. Thilthorpe 3
13,Sun 13 Jun 3:20pm,North Melbourne v GWS,Ninja Stadium,3462,94-94,J. Kelly 39,-
13,Sun 13 Jun 5:20pm,West Coast v Richmond,Optus Stadium,50834,85-81,J. Redden 32,J. Kennedy 4
13,,Carlton,BYE,,,,
13,,Essendon,BYE,,,,
13,,Western Bulldogs,BYE,,,,
13,,Brisbane,BYE,,,,
13,Mon 14 Jun 3:20pm,Melbourne v Collingwood,SCG,16453,63-80,J. De Goey 32,B. Maynard 32; D. Cameron 4; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
14,Fri 18 Jun 7:50pm,Geelong v Western Bulldogs,GMHBA Stadium,6583,83-78,J. Macrae 35,J. Bruce 3
